Fiscal Year,County,Region,Program,Abuse Neglect Fatalities,Race Ethnicity,Age,Gender
2024,Harris,6-Houston,Child Protective Investigations,1,Hispanic,0,Male
2024,Harris,6-Houston,Child Protective Investigations,2,Hispanic,1,Male
2024,Harris,6-Houston,Child Protective Investigations,1,Hispanic,12,Male
2024,Harris,6-Houston,Child Protective Investigations,1,Hispanic,16,Female
2024,Harrison,4-Tyler,Child Protective Investigations,1,African American,13,Male
2024,Harrison,4-Tyler,Child Protective Investigations,1,Hispanic,0,Female
2024,Hidalgo,11-Edinburg,Child Protective Investigations,1,Hispanic,3,Male
2024,Jefferson,5-Beaumont,Child Protective Investigations,1,African American,0,Male
2024,Jefferson,5-Beaumont,Child Protective Investigations,1,Hispanic,2,Male
2024,Johnson,3-Arlington,Child Protective Investigations,1,Anglo,0,Female
2024,Johnson,3-Arlington,Day Care Investigations,1,Anglo,0,Male
2024,Karnes,8-San Antonio,Child Protective Investigations,1,Hispanic,0,Male
2024,Kaufman,3-Arlington,Child Protective Investigations,1,African American,1,Male
2024,Kendall,8-San Antonio,Child Protective Investigations,1,African American,3,Male
2024,Knox,2-Abilene,Child Protective Investigations,1,Other,1,Female
2024,Lubbock,1-Lubbock,Child Protective Investigations,1,Anglo,0,Male
2024,Maverick,8-San Antonio,Child Protective Investigations,1,Hispanic,0,Female
2024,McLennan,7-Austin,Child Protective Investigations,1,African American,0,Male
2024,McLennan,7-Austin,Child Protective Investigations,1,Anglo,0,Male
2024,McLennan,7-Austin,Child Protective Investigations,1,Anglo,3,Female
2024,McLennan,7-Austin,Child Protective Investigations,1,Hispanic,0,Female
2024,Midland,9-Midland,Child Protective Investigations,1,African American,0,Female
2024,Midland,9-Midland,Child Protective Investigations,1,Anglo,15,Male
2024,Montgomery,6-Houston,Child Protective Investigations,1,African American,0,Female
2024,Montgomery,6-Houston,Child Protective Investigations,1,Hispanic,0,Male
2024,Nueces,11-Edinburg,Child Protective Investigations,1,Hispanic,0,Male
2024,Nueces,11-Edinburg,Child Protective Investigations,1,Hispanic,1,Female
2024,Orange,5-Beaumont,Child Protective Investigations,1,African American,17,Female
2024,Potter,1-Lubbock,Child Protective Investigations,2,Anglo,0,Male
2024,Potter,1-Lubbock,Child Protective Investigations,1,Anglo,3,Male
2024,Rusk,4-Tyler,Child Protective Investigations,1,Anglo,12,Male
2024,San Patricio,11-Edinburg,Child Protective Investigations,1,Hispanic,0,Female
2024,San Patricio,11-Edinburg,Child Protective Investigations,1,Hispanic,4,Male
2024,Smith,4-Tyler,Child Protective Investigations,1,Hispanic,9,Female
2024,Smith,4-Tyler,Child Protective Investigations,1,Hispanic,11,Female
2024,Tarrant,3-Arlington,Child Protective Investigations,1,African American,2,Female
2024,Tarrant,3-Arlington,Child Protective Investigations,2,African American,3,Male
2024,Tarrant,3-Arlington,Child Protective Investigations,1,Anglo,13,Female
2024,Tarrant,3-Arlington,Child Protective Investigations,1,Hispanic,0,Female
2024,Tarrant,3-Arlington,Child Protective Investigations,1,Other,4,Female
2024,Tom Green,9-Midland,Child Protective Investigations,1,African American,3,Male
2024,Travis,7-Austin,Child Protective Investigations,1,African American,4,Male
2024,Travis,7-Austin,Child Protective Investigations,1,Hispanic,0,Female
2024,Travis,7-Austin,Child Protective Investigations,1,Hispanic,13,Male
2024,Travis,7-Austin,Child Protective Investigations,1,Other,6,Female
2024,Waller,6-Houston,Child Protective Investigations,1,Anglo,2,Male
2024,Williamson,7-Austin,Child Protective Investigations,1,African American,1,Female
2023,Anderson,4-Tyler,Child Protective Investigations,1,Anglo,0,Female
2023,Angelina,5-Beaumont,Child Protective Investigations,1,African American,0,Female
2023,Archer,2-Abilene,Child Protective Investigations,1,Anglo,6,Male
2023,Bee,11-Edinburg,Child Protective Investigations,1,Hispanic,0,Male
2023,Bell,7-Austin,Child Protective Investigations,1,African American,0,Female
2023,Bell,7-Austin,Child Protective Investigations,1,African American,1,Female
2023,Bell,7-Austin,Child Protective Investigations,1,African American,2,Female
2023,Bell,7-Austin,Child Protective Investigations,1,African American,3,Male
2023,Bell,7-Austin,Child Protective Investigations,1,African American,4,Male
2023,Bell,7-Austin,Child Protective Investigations,1,Anglo,0,Female
2023,Bell,7-Austin,Child Protective Investigations,1,Anglo,0,Male
2023,Bell,7-Austin,Child Protective Investigations,1,Anglo,2,Male
2023,Bexar,8-San Antonio,Child Protective Investigations,1,African American,0,Male
2023,Bexar,8-San Antonio,Child Protective Investigations,1,African American,2,Male
2023,Bexar,8-San Antonio,Child Protective Investigations,1,African American,3,Male
2023,Bexar,8-San Antonio,Child Protective Investigations,1,Anglo,0,Female
2023,Bexar,8-San Antonio,Child Protective Investigations,2,Hispanic,0,Female
2023,Bexar,8-San Antonio,Child Protective Investigations,6,Hispanic,0,Male
2023,Bexar,8-San Antonio,Child Protective Investigations,1,Hispanic,3,Female
2023,Bexar,8-San Antonio,Child Protective Investigations,1,Hispanic,8,Female
2023,Bowie,4-Tyler,Child Protective Investigations,1,Anglo,0,Female
2023,Brazos,7-Austin,Child Protective Investigations,1,Anglo,17,Male
2023,Brooks,11-Edinburg,Child Protective Investigations,1,Hispanic,4,Female
2023,Brown,2-Abilene,Child Protective Investigations,1,Hispanic,2,Female
2023,Caldwell,7-Austin,Child Protective Investigations,1,Anglo,0,Male
2023,Cameron,11-Edinburg,Child Protective Investigations,1,Anglo,15,Male
2023,Camp,4-Tyler,Child Protective Investigations,1,Anglo,1,Male
2023,Cherokee,4-Tyler,Child Protective Investigations,1,African American,0,Male
2023,Collin,3-Arlington,Child Protective Investigations,1,African American,0,Male
2023,Collin,3-Arlington,Child Protective Investigations,1,Anglo,0,Female
2023,Collin,3-Arlington,Child Protective Investigations,1,Anglo,1,Male
2023,Collin,3-Arlington,Child Protective Investigations,1,Asian,1,Female
2023,Collin,3-Arlington,Child Protective Investigations,1,Asian,8,Male
2023,Collin,3-Arlington,Child Protective Investigations,1,Asian,11,Male
2023,Collin,3-Arlington,Child Protective Investigations,1,Hispanic,0,Female
2023,Coryell,7-Austin,Day Care Investigations,1,Hispanic,0,Male
2023,Cottle,2-Abilene,Child Protective Investigations,1,Anglo,4,Female
2023,Dallas,3-Arlington,Child Protective Investigations,2,African American,0,Female
2023,Dallas,3-Arlington,Child Protective Investigations,2,African American,0,Male
2023,Dallas,3-Arlington,Child Protective Investigations,3,African American,1,Male
2023,Dallas,3-Arlington,Child Protective Investigations,1,African American,7,Female
2023,Dallas,3-Arlington,Child Protective Investigations,1,African American,16,Male
2023,Dallas,3-Arlington,Child Protective Investigations,1,Anglo,1,Male
2023,Dallas,3-Arlington,Child Protective Investigations,1,Hispanic,0,Male
2023,Dallas,3-Arlington,Child Protective Investigations,1,Hispanic,1,Male
2023,Dallas,3-Arlington,Child Protective Investigations,1,Hispanic,5,Male
2023,Denton,3-Arlington,Child Protective Investigations,1,Hispanic,0,Male
2023,Ector,9-Midland,Child Protective Investigations,1,Hispanic,8,Male
2023,El Paso,10-El Paso,Child Protective Investigations,1,Anglo,10,Male
2023,El Paso,10-El Paso,Child Protective Investigations,1,Hispanic,0,Female
2023,El Paso,10-El Paso,Child Protective Investigations,1,Hispanic,1,Male
2023,El Paso,10-El Paso,Child Protective Investigations,1,Other,0,Male
2023,Ellis,3-Arlington,Child Protective Investigations,1,African American,5,Female
2023,Ellis,3-Arlington,Child Protective Investigations,1,African American,5,Male
2023,Ellis,3-Arlington,Child Protective Investigations,1,African American,6,Male
2023,Falls,7-Austin,Child Protective Investigations,1,Anglo,4,Female
2023,Fort Bend,6-Houston,Child Protective Investigations,1,African American,1,Female
2023,Fort Bend,6-Houston,,1,African American,16,Female
2023,Fort Bend,6-Houston,Child Protective Investigations,1,African American,17,Male
2023,Fort Bend,6-Houston,Child Protective Investigations,1,Hispanic,1,Female
2023,Fort Bend,6-Houston,Child Protective Investigations,1,Hispanic,6,Male
2023,Galveston,6-Houston,Child Protective Investigations,1,Hispanic,0,Male
2023,Guadalupe,8-San Antonio,Child Protective Investigations,1,Anglo,1,Male
2023,Hale,1-Lubbock,Child Protective Investigations,1,Hispanic,2,Female
2023,Harris,6-Houston,Child Protective Investigations,1,African American,0,Female
2023,Harris,6-Houston,Child Protective Investigations,2,African American,0,Male
2023,Harris,6-Houston,Child Protective Investigations,2,African American,1,Female
2023,Harris,6-Houston,Child Protective Investigations,2,African American,2,Female
2023,Harris,6-Houston,Child Protective Investigations,1,African American,2,Male
2023,Harris,6-Houston,Child Protective Investigations,1,African American,4,Female
2023,Harris,6-Houston,Child Protective Investigations,2,African American,5,Male
2023,Harris,6-Houston,Child Protective Investigations,1,African American,10,Male
2023,Harris,6-Houston,Child Protective Investigations,1,Anglo,5,Female
2023,Harris,6-Houston,Child Protective Investigations,1,Hispanic,0,Female
2023,Harris,6-Houston,Child Protective Investigations,2,Hispanic,0,Male
2023,Harris,6-Houston,Day Care Investigations,1,Hispanic,1,Female
2023,Harris,6-Houston,Child Protective Investigations,1,Hispanic,4,Male
2023,Harris,6-Houston,Child Protective Investigations,1,Hispanic,6,Female
2023,Harris,6-Houston,Child Protective Investigations,1,Hispanic,8,Male
2023,Harris,6-Houston,Child Protective Investigations,1,Hispanic,13,Female
2023,Harris,6-Houston,Child Protective Investigations,1,Hispanic,13,Male
2023,Harris,6-Houston,Child Protective Investigations,1,Other,0,Female
2023,Hays,7-Austin,Child Protective Investigations,1,Hispanic,1,Female
2023,Henderson,4-Tyler,Child Protective Investigations,1,Anglo,6,Male
2023,Henderson,4-Tyler,Child Protective Investigations,1,Anglo,10,Male
2023,Henderson,4-Tyler,Child Protective Investigations,1,Hispanic,4,Male
2023,Hidalgo,11-Edinburg,Child Protective Investigations,1,African American,0,Male
2023,Hidalgo,11-Edinburg,Child Protective Investigations,1,Hispanic,0,Male
2023,Hidalgo,11-Edinburg,Child Protective Investigations,1,Hispanic,1,Male
2023,Hudspeth,10-El Paso,Child Protective Investigations,1,Hispanic,3,Male
2023,Jefferson,5-Beaumont,Child Protective Investigations,2,African American,0,Male
2023,Jefferson,5-Beaumont,Child Protective Investigations,1,African American,1,Female
2023,Jefferson,5-Beaumont,Child Protective Investigations,1,Hispanic,1,Female
2023,Kaufman,3-Arlington,Child Protective Investigations,1,Anglo,0,Male
2023,Kendall,8-San Antonio,Child Protective Investigations,1,Hispanic,0,Male
2023,Kleberg,11-Edinburg,Child Protective Investigations,1,Hispanic,9,Male
2023,Lamar,4-Tyler,Child Protective Investigations,1,Anglo,4,Male
2023,Liberty,6-Houston,Child Protective Investigations,1,Anglo,0,Male
2023,Liberty,6-Houston,Child Protective Investigations,1,Anglo,3,Unknown
2023,Limestone,7-Austin,Child Protective Investigations,1,African American,8,Female
2023,Llano,7-Austin,Child Protective Investigations,1,Anglo,0,Female
2023,Lubbock,1-Lubbock,Child Protective Investigations,1,Hispanic,0,Male
2023,McLennan,7-Austin,Child Protective Investigations,1,Hispanic,14,Female
2023,McLennan,7-Austin,Child Protective Investigations,1,Hispanic,15,Male
2023,Midland,9-Midland,Child Protective Investigations,1,Anglo,0,Male
2023,Midland,9-Midland,Child Protective Investigations,1,Anglo,2,Male
2023,Midland,9-Midland,Child Protective Investigations,1,Hispanic,0,Female
2023,Midland,9-Midland,Child Protective Investigations,1,Other,2,Male
2023,Montgomery,6-Houston,Child Protective Investigations,1,African American,14,Male
2023,Montgomery,6-Houston,Child Protective Investigations,1,Anglo,1,Male
2023,Navarro,3-Arlington,Child Protective Investigations,2,Other,12,Female
2023,Nueces,11-Edinburg,Child Protective Investigations,1,Hispanic,0,Female
2023,Nueces,11-Edinburg,Child Protective Investigations,1,Hispanic,2,Male
2023,Orange,5-Beaumont,Child Protective Investigations,1,Other,0,Male
2023,Potter,1-Lubbock,Child Protective Investigations,1,African American,0,Female
2023,Potter,1-Lubbock,Child Protective Investigations,1,Hispanic,0,Female
2023,Potter,1-Lubbock,Child Protective Investigations,1,Hispanic,1,Male
2023,San Jacinto,5-Beaumont,Child Protective Investigations,1,Anglo,14,Female
2023,Tarrant,3-Arlington,Child Protective Investigations,1,African American,0,Female
2023,Tarrant,3-Arlington,Child Protective Investigations,3,African American,0,Male
2023,Tarrant,3-Arlington,Child Protective Investigations,1,African American,1,Female
2023,Tarrant,3-Arlington,Child Protective Investigations,1,African American,2,Male
2023,Tarrant,3-Arlington,Child Protective Investigations,1,Anglo,0,Female
2023,Tarrant,3-Arlington,Child Protective Investigations,1,Anglo,1,Female
2023,Tarrant,3-Arlington,Child Protective Investigations,1,Anglo,3,Female
2023,Tarrant,3-Arlington,Child Protective Investigations,1,Anglo,8,Male
2023,Tarrant,3-Arlington,Child Protective Investigations,1,Anglo,11,Female
2023,Tarrant,3-Arlington,Child Protective Investigations,1,Anglo,14,Female
2023,Tarrant,3-Arlington,Child Protective Investigations,1,Hispanic,0,Female
2023,Tarrant,3-Arlington,Child Protective Investigations,1,Hispanic,0,Male
2023,Taylor,2-Abilene,Child Protective Investigations,1,Anglo,5,Female
2023,Taylor,2-Abilene,Child Protective Investigations,1,Anglo,15,Male
2023,Titus,4-Tyler,Child Protective Investigations,1,African American,1,Female
2023,Tom Green,9-Midland,Day Care Investigations,1,Anglo,0,Female
2023,Tom Green,9-Midland,Child Protective Investigations,1,Anglo,0,Female
2023,Travis,7-Austin,Child Protective Investigations,1,Unknown,0,Female
2023,Trinity,5-Beaumont,Child Protective Investigations,1,Anglo,0,Male
2023,Wharton,6-Houston,Child Protective Investigations,1,Hispanic,1,Female
2023,Wichita,2-Abilene,Child Protective Investigations,1,Anglo,0,Female
2023,Wichita,2-Abilene,Child Protective Investigations,1,Hispanic,0,Female
2023,Wise,3-Arlington,Child Protective Investigations,1,Anglo,0,Male
2023,Wise,3-Arlington,Child Protective Investigations,1,Anglo,2,Female
2023,Young,2-Abilene,Day Care Investigations,1,Anglo,0,Female
2023,Young,2-Abilene,Child Protective Investigations,1,Anglo,0,Female
2023,Young,2-Abilene,Child Protective Investigations,1,Hispanic,1,Male
2022,Anderson,4-Tyler,Child Protective Investigations,1,Anglo,14,Male
2022,Angelina,5-Beaumont,Child Protective Investigations,1,Anglo,5,Male
2022,Bell,7-Austin,Child Protective Investigations,1,African American,6,Female
2022,Bell,7-Austin,Child Protective Investigations,1,African American,11,Female
2022,Bell,7-Austin,Child Protective Investigations,2,Anglo,0,Male
2022,Bexar,8-San Antonio,Child Protective Investigations,2,African American,0,Male
2022,Bexar,8-San Antonio,Child Protective Investigations,1,African American,2,Female
2022,Bexar,8-San Antonio,Child Protective Investigations,1,African American,12,Male
2022,Bexar,8-San Antonio,Child Protective Investigations,1,Anglo,0,Female
2022,Bexar,8-San Antonio,Child Protective Investigations,1,Anglo,2,Male
2022,Bexar,8-San Antonio,Child Protective Investigations,1,Anglo,4,Male
2022,Bexar,8-San Antonio,Child Protective Investigations,3,Hispanic,0,Female
2022,Bexar,8-San Antonio,Day Care Investigations,1,Hispanic,1,Male
2022,Bexar,8-San Antonio,Child Protective Investigations,1,Hispanic,2,Female
2022,Bexar,8-San Antonio,Child Protective Investigations,1,Hispanic,3,Female
2022,Bexar,8-San Antonio,Child Protective Investigations,1,Hispanic,4,Female
2022,Bexar,8-San Antonio,Child Protective Investigations,1,Hispanic,5,Female
2022,Bexar,8-San Antonio,Child Protective Investigations,1,Hispanic,6,Female
2022,Bexar,8-San Antonio,Child Protective Investigations,1,Hispanic,8,Female
2022,Bexar,8-San Antonio,Child Protective Investigations,1,Hispanic,14,Male
2022,Bexar,8-San Antonio,Child Protective Investigations,1,Unknown,4,Female
2022,Bowie,4-Tyler,Child Protective Investigations,1,African American,0,Female
2022,Bowie,4-Tyler,Child Protective Investigations,1,Hispanic,13,Male
2022,Brazoria,6-Houston,Child Protective Investigations,1,Unknown,0,Male
2022,Brown,2-Abilene,Child Protective Investigations,1,Anglo,9,Female
2022,Cameron,11-Edinburg,Child Protective Investigations,2,Hispanic,0,Male
2022,Cass,4-Tyler,Child Protective Investigations,1,African American,5,Female
2022,Cass,4-Tyler,Child Protective Investigations,1,African American,8,Female
2022,Cass,4-Tyler,Child Protective Investigations,1,African American,9,Female
2022,Cherokee,4-Tyler,Day Care Investigations,1,African American,0,Female
2022,Collin,3-Arlington,Child Protective Investigations,1,African American,13,Female
2022,Dallas,3-Arlington,Child Protective Investigations,1,African American,2,Male
2022,Dallas,3-Arlington,Child Protective Investigations,1,African American,3,Male
2022,Dallas,3-Arlington,Child Protective Investigations,1,African American,5,Male
2022,Dallas,3-Arlington,Child Protective Investigations,1,Anglo,0,Female
2022,Dallas,3-Arlington,Child Protective Investigations,1,Anglo,0,Male
2022,Dallas,3-Arlington,Day Care Investigations,1,Anglo,2,Female
2022,Dallas,3-Arlington,Child Protective Investigations,1,Anglo,2,Male
2022,Denton,3-Arlington,Child Protective Investigations,1,African American,1,Female
2022,Denton,3-Arlington,Child Protective Investigations,1,African American,3,Male
2022,Denton,3-Arlington,Child Protective Investigations,1,African American,12,Female
2022,Denton,3-Arlington,Child Protective Investigations,1,African American,16,Female
2022,Denton,3-Arlington,Child Protective Investigations,1,Anglo,1,Male
2022,Denton,3-Arlington,Child Protective Investigations,1,Hispanic,0,Male
2022,Denton,3-Arlington,Child Protective Investigations,1,Other,7,Male
2022,Ector,9-Midland,Child Protective Investigations,1,Anglo,0,Male
2022,Ector,9-Midland,Child Protective Investigations,1,Hispanic,0,Female
2022,El Paso,10-El Paso,Child Protective Investigations,1,Hispanic,0,Male
2022,El Paso,10-El Paso,Child Protective Investigations,1,Hispanic,1,Male
2022,El Paso,10-El Paso,Child Protective Investigations,1,Hispanic,6,Male
2022,El Paso,10-El Paso,Child Protective Investigations,1,Hispanic,8,Male
2022,El Paso,10-El Paso,Child Protective Investigations,1,Unknown,0,Female
2022,Ellis,3-Arlington,Child Protective Investigations,1,Anglo,12,Male
2022,Ellis,3-Arlington,Child Protective Investigations,1,Hispanic,0,Female
2022,Fannin,3-Arlington,Child Protective Investigations,1,Anglo,2,Male
2022,Fort Bend,6-Houston,Child Protective Investigations,1,African American,12,Female
2022,Grayson,3-Arlington,Child Protective Investigations,1,Anglo,2,Male
2022,Gregg,4-Tyler,Child Protective Investigations,1,Hispanic,0,Female
2022,Harris,6-Houston,Child Protective Investigations,1,African American,0,Female
2022,Harris,6-Houston,Child Protective Investigations,3,African American,0,Male
2022,Harris,6-Houston,Child Protective Investigations,1,African American,1,Female
2022,Harris,6-Houston,Child Protective Investigations,2,African American,2,Male
2022,Harris,6-Houston,Child Protective Investigations,1,African American,4,Male
2022,Harris,6-Houston,Child Protective Investigations,1,African American,7,Male
2022,Harris,6-Houston,Child Protective Investigations,1,African American,9,Female
2022,Harris,6-Houston,Child Protective Investigations,1,African American,9,Male
2022,Harris,6-Houston,Child Protective Investigations,1,African American,11,Male
2022,Harris,6-Houston,Child Protective Investigations,1,African American,12,Female
2022,Harris,6-Houston,Child Protective Investigations,1,Anglo,2,Female
2022,Harris,6-Houston,Child Protective Investigations,1,Anglo,3,Male
2022,Harris,6-Houston,Child Protective Investigations,1,Anglo,15,Male
2022,Harris,6-Houston,Child Protective Investigations,1,Anglo,17,Female
2022,Harris,6-Houston,Child Protective Investigations,1,Anglo,17,Male
2022,Harris,6-Houston,Day Care Investigations,1,Asian,0,Male
2022,Harris,6-Houston,Child Protective Investigations,2,Hispanic,0,Male
2022,Harris,6-Houston,Child Protective Investigations,1,Hispanic,2,Female
2022,Harris,6-Houston,Child Protective Investigations,1,Hispanic,4,Female
2022,Harris,6-Houston,Child Protective Investigations,1,Hispanic,4,Male
2022,Harris,6-Houston,Child Protective Investigations,1,Hispanic,6,Female
2022,Harris,6-Houston,Child Protective Investigations,1,Hispanic,9,Male
2022,Harris,6-Houston,Child Protective Investigations,1,Unknown,0,Male
2022,Harris,6-Houston,Child Protective Investigations,1,Unknown,17,Male
2022,Harrison,4-Tyler,Child Protective Investigations,1,African American,17,Female
2022,Harrison,4-Tyler,Child Protective Investigations,1,Anglo,2,Male
2022,Hays,7-Austin,Child Protective Investigations,1,Hispanic,0,Female
2022,Hays,7-Austin,Child Protective Investigations,1,Hispanic,0,Male
2022,Henderson,4-Tyler,Child Protective Investigations,1,Anglo,1,Male
2022,Henderson,4-Tyler,Child Protective Investigations,1,Anglo,3,Female
2022,Henderson,4-Tyler,Child Protective Investigations,1,Anglo,8,Male
2022,Henderson,4-Tyler,Child Protective Investigations,1,Anglo,15,Female
2022,Hidalgo,11-Edinburg,Child Protective Investigations,1,Hispanic,3,Male
2022,Hidalgo,11-Edinburg,Child Protective Investigations,1,Hispanic,4,Female
2022,Hidalgo,11-Edinburg,Child Protective Investigations,1,Hispanic,5,Male
2022,Hood,3-Arlington,Child Protective Investigations,1,Anglo,9,Male
2022,Hood,3-Arlington,Child Protective Investigations,1,Hispanic,13,Female
2022,Hood,3-Arlington,Child Protective Investigations,1,Other,3,Female
2022,Hutchinson,1-Lubbock,Child Protective Investigations,1,Anglo,4,Male
2022,Jasper,5-Beaumont,Child Protective Investigations,1,Anglo,1,Male
2022,Jefferson,5-Beaumont,Child Protective Investigations,2,African American,0,Female
2022,Jefferson,5-Beaumont,Child Protective Investigations,1,African American,0,Male
2022,Jefferson,5-Beaumont,Child Protective Investigations,1,African American,4,Male
2022,Jim Wells,11-Edinburg,Child Protective Investigations,1,Hispanic,0,Female
2022,Lubbock,1-Lubbock,Child Protective Investigations,1,Hispanic,0,Female
2022,Lubbock,1-Lubbock,Child Protective Investigations,1,Hispanic,0,Male
2022,Martin,9-Midland,Child Protective Investigations,1,Anglo,0,Female
2022,Matagorda,6-Houston,Day Care Investigations,1,Anglo,0,Male
2022,McLennan,7-Austin,Child Protective Investigations,1,African American,2,Male
2022,McLennan,7-Austin,Child Protective Investigations,1,African American,3,Male
2022,McLennan,7-Austin,Child Protective Investigations,1,African American,8,Male
2022,McLennan,7-Austin,Child Protective Investigations,1,African American,10,Male
2022,McLennan,7-Austin,Child Protective Investigations,1,Hispanic,1,Female
2022,Medina,8-San Antonio,Child Protective Investigations,2,Hispanic,0,Female
2022,Midland,9-Midland,Child Protective Investigations,1,African American,0,Female
2022,Midland,9-Midland,Child Protective Investigations,1,Anglo,2,Female
2022,Midland,9-Midland,Child Protective Investigations,1,Unknown,0,Male
2022,Montgomery,6-Houston,Child Protective Investigations,1,African American,0,Male
2022,Montgomery,6-Houston,Child Protective Investigations,1,African American,2,Male
2022,Montgomery,6-Houston,Child Protective Investigations,1,Hispanic,14,Male
2022,Morris,4-Tyler,Child Protective Investigations,1,Anglo,0,Female
2022,Navarro,3-Arlington,Child Protective Investigations,1,Anglo,4,Male
2022,Nueces,11-Edinburg,Child Protective Investigations,1,Hispanic,0,Male
2022,Nueces,11-Edinburg,Child Protective Investigations,1,Hispanic,14,Female
2022,Ochiltree,1-Lubbock,Child Protective Investigations,1,Hispanic,10,Female
2022,Panola,4-Tyler,Child Protective Investigations,1,Anglo,13,Male
2022,Parker,3-Arlington,Child Protective Investigations,1,Hispanic,5,Male
2022,Polk,5-Beaumont,Child Protective Investigations,1,Anglo,1,Male
2022,Rusk,4-Tyler,Child Protective Investigations,1,Other,0,Female
2022,Scurry,2-Abilene,Child Protective Investigations,1,Hispanic,1,Male
2022,Shelby,5-Beaumont,Child Protective Investigations,1,African American,9,Male
2022,Smith,4-Tyler,Child Protective Investigations,1,African American,8,Male
2022,Smith,4-Tyler,Child Protective Investigations,1,Anglo,8,Male
2022,Smith,4-Tyler,Child Protective Investigations,1,Anglo,12,Female
2022,Tarrant,3-Arlington,Child Protective Investigations,2,African American,0,Female
2022,Tarrant,3-Arlington,Child Protective Investigations,1,African American,1,Female
2022,Tarrant,3-Arlington,Child Protective Investigations,1,African American,3,Female
2022,Tarrant,3-Arlington,Child Protective Investigations,1,African American,5,Female
2022,Tarrant,3-Arlington,Child Protective Investigations,2,Anglo,1,Male
2022,Tarrant,3-Arlington,Child Protective Investigations,1,Anglo,2,Female
2022,Tarrant,3-Arlington,Child Protective Investigations,2,Hispanic,0,Female
2022,Tarrant,3-Arlington,Child Protective Investigations,1,Hispanic,6,Male
2022,Tarrant,3-Arlington,Child Protective Investigations,1,Other,0,Female
2022,Tarrant,3-Arlington,Child Protective Investigations,1,Other,3,Female
2022,Taylor,2-Abilene,Child Protective Investigations,2,Anglo,0,Male
2022,Taylor,2-Abilene,Child Protective Investigations,1,Anglo,13,Male
2022,Taylor,2-Abilene,Child Protective Investigations,1,Anglo,14,Male
2022,Taylor,2-Abilene,Child Protective Investigations,1,Hispanic,0,Female
2022,Tom Green,9-Midland,Child Protective Investigations,2,Anglo,0,Female
2022,Tom Green,9-Midland,Child Protective Investigations,1,Hispanic,3,Male
